names,Politicians,Gender
Nermeen Shaikh,Donald Trump,Male
Donald Trump,Sean Spicer,Male
Sean Spicer,Hillary Clinton,Female
Alisyn Camerota,Tim Kaine,Male
Companiesyou Ve,Kellyanne Conway,Female
Amy Goodman,Mitt Romney,Male
Joe Cirincione,George Stephanopoulos,Male
Anderson Cooper,Karl Rove,Male
Changeorg Toas,Al Gore,Male
Warhead Streak,John Kerry,Male
Eric Schlosser,Kelly Ayotte,Female
Hillary Clinton,Paul Ryan,Male
Tim Kaine,Mitch Mcconnell,Male
Robby Mook,Rex Tillerson,Male
Kellyanne Conway,barack Obama,Male
Mitt Romney,Antony Blinken,Male
George Stephanopoulos,David Miliband,Male
Karl Rove,Angela Merkel,Female
Al Gore,Daniel Baer,Male
John Kerry,Jared Kushner,Male
Ku Klux,Beppe Grillo,Male
Klansman David,Nigel Farage,Male
Brian Fallon,Ron Paul,Male
Kate Mcginty,Steve Bannon,Male
Kelly Ayotte,Chad Wolf,Male
Paul Ryan,Michael Flynn,Male
Mitch Mcconnell,Marco Rubio,Male
Rex Tillerson,Joe Biden,Male
Isaac Stone,Bernie Sanders,Male
James Mattis,Barack Obama,Male
Antony Blinken,Elizabeth Warren,Female
David Miliband,Chuck Schumer,Male
Angela Merkel,Susan Collins,Female
Daniel Baer,Sarah Huckabee,Female
Jared Kushner,Jimmy Carter,Male
Edward Snowden,Nancy Pelosi,Female
Beppe Grillo,Betsy Devos,Female
Nigel Farage,Kirsten Gillibrand,Female
Jamie Bartlett,Clarence Thomas,Male
Ron Paul,Al Franken,Male
Hong Kong,Brett Kavanaugh,Male
Steve Bannon,Jair Bolsonaro,Male
Alexey Kovalev,Narendra Modi,Male
Kadri Liik,John Thune,Male
Gianroberto Casaleggio,Lamar Alexander,Male
Franklin Foer,Brian Sandoval,Male
Kevin Williamson,Thom Tillis,Male
Editorinchief Jeffrey,Richard Burr,Male
Jessica Valenti,Ben Cardin,Male
Decontextualize Heatofthemoment,Justin Trudeau,Male
Maya Angelou,Ashraf Ghani,Male
Bret Stephens,Zalmay Khalilzad,Male
Sharon Kann,Vali Nasr,Male
